Timestamp,Review,Mode,Pre_Lat_ms,Inf_Lat_ms,Post_Lat_ms,Pre_E_mJ,Inf_E_mJ,Post_E_mJ,Pre_Max_V,Pre_Mean_V,Pre_Max_C,Pre_Mean_C,Inf_Max_V,Inf_Mean_V,Inf_Max_C,Inf_Mean_C,Post_Max_V,Post_Mean_V,Post_Max_C,Post_Mean_C,Pre_Pwr_mW,Inf_Pwr_mW,Post_Pwr_mW
2025-08-27 18:36:41,000000411634.jpg,CPU4,22.2,59.6,0.2,87.1,233.8,0.7,5048.00,5048.00,240.00,188.00,5048.00,5048.00,240.00,188.00,5048.00,5048.00,240.00,188.00,3923.00,3923.00,3923.00
2025-08-27 18:36:42,000000012802.jpg,CPU4,17.5,38.6,0.2,78.8,174.1,0.8,5040.00,5040.00,264.00,228.00,5040.00,5040.00,264.00,228.00,5040.00,5040.00,264.00,228.00,4515.00,4515.00,4515.00
2025-08-27 18:36:43,000000379113.jpg,CPU4,9.7,40.2,0.1,37.5,156.2,0.6,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,3883.00,3883.00,3883.00
2025-08-27 18:36:44,000000290388.jpg,CPU4,14.2,47.8,0.1,54.2,181.7,0.4,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,3802.00,3802.00,3802.00
2025-08-27 18:36:45,000000152104.jpg,CPU4,13.8,40.3,0.2,54.2,158.0,0.6,5056.00,5056.00,240.00,188.00,5056.00,5056.00,240.00,188.00,5056.00,5056.00,240.00,188.00,3923.00,3923.00,3923.00
2025-08-27 18:36:46,000000175194.jpg,CPU4,18.2,42.8,0.2,69.7,164.6,0.6,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,3842.00,3842.00,3842.00
2025-08-27 18:36:48,000000554030.jpg,CPU4,13.8,43.0,0.1,53.7,167.0,0.6,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,3883.00,3883.00,3883.00
2025-08-27 18:36:49,000000445284.jpg,CPU4,19.1,43.3,0.2,74.9,170.0,0.6,5056.00,5056.00,240.00,188.00,5056.00,5056.00,240.00,188.00,5056.00,5056.00,240.00,188.00,3923.00,3923.00,3923.00
2025-08-27 18:36:50,000000335007.jpg,CPU4,16.3,45.2,0.2,64.7,179.0,0.6,5056.00,5056.00,240.00,188.00,5056.00,5056.00,240.00,188.00,5056.00,5056.00,240.00,188.00,3963.00,3963.00,3963.00
2025-08-27 18:36:51,000000256063.jpg,CPU4,16.7,44.9,0.2,66.9,179.9,0.7,5056.00,5056.00,240.00,192.00,5056.00,5056.00,240.00,192.00,5056.00,5056.00,240.00,192.00,4004.00,4004.00,4004.00
