Timestamp,Review,Mode,Pre_Lat_ms,Inf_Lat_ms,Post_Lat_ms,Pre_E_mJ,Inf_E_mJ,Post_E_mJ,Pre_Max_V,Pre_Mean_V,Pre_Max_C,Pre_Mean_C,Inf_Max_V,Inf_Mean_V,Inf_Max_C,Inf_Mean_C,Post_Max_V,Post_Mean_V,Post_Max_C,Post_Mean_C,Pre_Pwr_mW,Inf_Pwr_mW,Post_Pwr_mW
2025-08-27 16:56:51,000000411634.jpg,CPU1,9.4,33.4,0.1,39.7,137.6,0.4,5048.00,5048.00,256.00,204.00,5048.00,5048.00,256.00,198.00,5048.00,5048.00,240.00,192.00,4240.00,4122.00,4004.00
2025-08-27 16:56:52,000000012802.jpg,CPU1,19.5,40.0,0.2,85.9,176.2,0.7,5040.00,5040.00,256.00,220.00,5040.00,5040.00,256.00,220.00,5040.00,5040.00,256.00,220.00,4401.00,4401.00,4401.00
2025-08-27 16:56:53,000000379113.jpg,CPU1,12.1,40.3,0.2,46.9,156.5,0.6,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,3883.00,3883.00,3883.00
2025-08-27 16:56:54,000000290388.jpg,CPU1,15.8,43.0,0.2,60.0,163.4,0.6,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,3802.00,3802.00,3802.00
2025-08-27 16:56:56,000000152104.jpg,CPU1,17.8,44.1,0.2,68.5,169.4,0.7,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,3842.00,3842.00,3842.00
2025-08-27 16:56:57,000000175194.jpg,CPU1,18.0,43.3,0.2,69.8,168.3,0.6,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,3883.00,3883.00,3883.00
2025-08-27 16:56:58,000000554030.jpg,CPU1,13.9,43.5,0.2,54.1,168.7,0.6,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,3883.00,3883.00,3883.00
2025-08-27 16:56:59,000000445284.jpg,CPU1,19.2,43.7,0.2,75.2,171.4,0.7,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,3923.00,3923.00,3923.00
2025-08-27 16:57:00,000000335007.jpg,CPU1,16.3,43.6,0.2,64.0,171.1,0.6,5056.00,5056.00,240.00,188.00,5056.00,5056.00,240.00,188.00,5056.00,5056.00,240.00,188.00,3923.00,3923.00,3923.00
2025-08-27 16:57:01,000000256063.jpg,CPU1,16.8,46.1,0.2,67.3,184.7,0.7,5048.00,5048.00,240.00,192.00,5048.00,5048.00,240.00,192.00,5048.00,5048.00,240.00,192.00,4004.00,4004.00,4004.00
2025-08-27 16:57:02,000000078545.jpg,CPU1,14.6,44.5,0.1,58.5,178.1,0.6,5056.00,5052.00,240.00,192.00,5056.00,5052.00,240.00,192.00,5056.00,5052.00,240.00,192.00,4004.00,4004.00,4004.00
2025-08-27 16:57:03,000000443622.jpg,CPU1,7.8,47.0,0.1,31.6,190.2,0.4,5048.00,5048.00,240.00,192.00,5048.00,5048.00,240.00,192.00,5048.00,5048.00,240.00,192.00,4044.00,4044.00,4044.00
2025-08-27 16:57:04,000000450708.jpg,CPU1,17.2,36.5,0.5,70.0,148.8,2.0,5048.00,5048.00,240.00,196.00,5048.00,5048.00,240.00,196.00,5048.00,5048.00,240.00,196.00,4078.00,4078.00,4078.00
2025-08-27 16:57:05,000000498893.jpg,CPU1,12.6,42.8,0.2,47.4,161.0,0.6,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,3761.00,3761.00,3761.00
2025-08-27 16:57:06,000000284904.jpg,CPU1,14.2,44.3,0.2,53.4,166.6,0.8,5056.00,5056.00,232.00,172.00,5056.00,5056.00,232.00,172.00,5056.00,5056.00,232.00,172.00,3761.00,3761.00,3761.00
2025-08-27 16:57:07,000000238144.jpg,CPU1,17.3,44.9,0.2,65.0,168.9,0.6,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,3761.00,3761.00,3761.00
2025-08-27 16:57:08,000000006947.jpg,CPU1,11.4,42.2,0.2,42.7,158.7,0.9,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,3761.00,3761.00,3761.00
2025-08-27 16:57:09,000000046713.jpg,CPU1,13.1,37.4,0.2,49.2,140.8,0.6,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,3761.00,3761.00,3761.00
2025-08-27 16:57:11,000000212278.jpg,CPU1,11.5,38.1,0.2,43.9,144.7,0.6,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,3802.00,3802.00,3802.00
2025-08-27 16:57:12,000000535680.jpg,CPU1,14.9,43.9,0.2,56.5,166.7,0.6,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,5056.00,5056.00,232.00,176.00,3802.00,3802.00,3802.00
2025-08-27 16:57:13,000000379036.jpg,CPU1,19.8,44.8,0.2,76.9,174.0,0.7,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,5056.00,5056.00,240.00,184.00,3883.00,3883.00,3883.00
